	title	url	content	summary	author	time	resource	pdf
493	Sources of Tension in Afghanistan & Pakistan: Perspectives from the Region in 2013 & 2014: 6. Iran	https://www.cidob.org/en/publications/publication_series/project_papers/stap_rp/perspectives_2013_2014/sources_of_tension_in_afghanistan_pakistan_perspectives_from_the_region_in_2013_2014_6_iran		Perspectives nº. 6 October 2014	Emma Hooper and Roberto Toscano, Associate Senior Researchers, CIDOB	10/2014	www.cidob.org	https://www.cidob.org/en/content/download/56584/1454465/version/6/file/PERSPECTIVES%20FROM%20THE%20REGION_6.%20IRAN.pdf
494	Central Europe ten years after: punching above its weight in the EU?	https://www.cidob.org/en/publications/publication_series/opinion/europa/central_europe_ten_years_after_punching_above_its_weight_in_the_eu		Paweł Świeboda	Paweł Świeboda, President of demosEUROPA – Centre for European Strategy	10/2014	www.cidob.org	https://www.cidob.org/en/content/download/57128/1474836/version/2/file/271_OPINIO_EUROPA_ANG.pdf
495	Linguistic Processes in Contemporary Urban Space of Tashkent Oblas	https://www.cidob.org/en/publications/publication_series/project_papers/uzbekistan_initiative/linguistic_processes_in_contemporary_urban_space_of_tashkent_oblas		UNZIN Paper nº. 19 (2014)	Yulia Tsyryapkina	10/2014	www.cidob.org	https://www.cidob.org/en/content/download/75382/2427193/version/1/file/UZIN%20PAPERS_19_YULIA%20TSYRYAPKINA.pdf
496	The World Bank Eats Humble Pie, but Will the West Really Help Tunisia?	https://www.cidob.org/en/publications/publication_series/opinion/mediterraneo_y_oriente_medio/the_world_bank_eats_humble_pie_but_will_the_west_really_help_tunisia		Francis Ghilès, 	Francis Ghilès, Associate Senior Researcher, CIDOB	10/2014	www.cidob.org	https://www.cidob.org/en/content/download/57194/1478326/version/5/file/270_OPINIO_MEDITERRANEO_ANG.pdf
497	Marina Silva: ascensión de un mito, declive de una esperanza 	https://www.cidob.org/en/publications/publication_series/opinion/america_latina/marina_silva_ascension_de_un_mito_declive_de_una_esperanza		Fabricio 	Fabricio Borges Carrijo, investigador asociado, CIDOB 	10/2014	www.cidob.org	https://www.cidob.org/en/content/download/56993/1467517/version/3/file/269_OPINIO_AMERICA%20LATINA_CAST.pdf
498	The Single European Supervisor, a Solution for the Future	https://www.cidob.org/en/publications/publication_series/opinion/europa/the_single_european_supervisor_a_solution_for_the_future		Jordi Bacaria, 	Jordi Bacaria, Director of CIDOB	11/2014	www.cidob.org	https://www.cidob.org/en/content/download/57131/1475010/version/3/file/279_OPINIO_EUROPA_ANG.pdf
499	Hong Kong: Supervised Meritocracy or Unhindered People Power?	https://www.cidob.org/en/publications/publication_series/opinion/asia/hong_kong_supervised_meritocracy_or_unhindered_people_power		Sean Golden	Sean Golden, Associate Senior Researcher, CIDOB	11/2014	www.cidob.org	https://www.cidob.org/en/content/download/57034/1469383/version/6/file/278_OPINIO_ASIA_ANG2.pdf
500	Sources of Tension in Afghanistan & Pakistan: Perspectives from the Region in 2013 & 2014: 7. Formal & Non-Formal Economies in Afghanistan & Pakistan: The View from the Gulf	https://www.cidob.org/en/publications/publication_series/project_papers/stap_rp/perspectives_2013_2014/sources_of_tension_in_afghanistan_pakistan_perspectives_from_the_region_in_2013_2014_7_formal_non_formal_economies_in_afghanistan_pakistan_the_view_from_the_gulf		Perspectives nº. 7 November 2014	Emma Hooper, Associate Senior Researcher, CIDOB and Gabriel Reyes Leguen, Associate Researcher, CIDOB	11/2014	www.cidob.org	https://www.cidob.org/en/content/download/56585/1454552/version/5/file/PERSPECTIVES%20FROM%20THE%20REGION_7.%20THE%20VIEW%20FROM%20THE%20GULF.pdf
501	Thinking to Practice: Applying complexity The Water-Food-Energy Nexus in Global Drylands	https://www.cidob.org/en/publications/publication_series/documents_cidob/thinking_to_practice_applying_complexity_the_water_food_energy_nexus_in_global_drylands		Documents CIDOB (new era): 2	Daniel Yeo, Global Green Growth Institute’s Water and Energy Adviser	11/2014	www.cidob.org	https://www.cidob.org/en/content/download/59442/1549439/version/4/file/DOCUMENTS%20CIDOB%20n.%C2%BA%202.pdf
502	Is growth about to return to the European Union?	https://www.cidob.org/en/publications/publication_series/opinion/europa/is_growth_about_to_return_to_the_european_union		Àlex Ruiz Posino	Àlex Ruiz Posino, Lecturer in Economic and Business Studies at the  Universitat Oberta de Catalunya	10/2014	www.cidob.org	https://www.cidob.org/en/content/download/57130/1474923/version/2/file/277_OPINIO_EUROPA_ANG.pdf
503	Virus del Ébola: del olvido a la amenaza   	https://www.cidob.org/en/publications/publication_series/opinion/seguridad_y_politica_mundial/virus_del_ebola_del_olvido_a_la_amenaza		Rafael Vilasanjuan	Rafael Vilasanjuan, director del departamento de Análisis y Desarrollo Global de ISGlobal de Barcelona	10/2014	www.cidob.org	https://www.cidob.org/en/content/download/57254/1480985/version/2/file/276_OPINIO_SEGURIDAD_CAST.pdf
504	El model escocès	https://www.cidob.org/en/publications/publication_series/opinion/europa/el_model_escoces		Marc Sanjaume i Calvet	Marc Sanjaume i Calvet, investigador postdoctoral de l'Université du Québec	10/2014	www.cidob.org	https://www.cidob.org/en/content/download/57129/1474894/version/2/file/273_OPINIO_EUROPA_CAT.pdf
505	Avramopoulos: a new face for an already set migratory agenda	https://www.cidob.org/en/publications/publication_series/opinion/migraciones/avramopoulos_a_new_face_for_an_already_set_migratory_agenda		Elena Sánchez-Montijano	Elena Sánchez-Montijano, Research Fellow, CIDOB	10/2014	www.cidob.org	https://www.cidob.org/en/content/download/57223/1479583/version/3/file/275_OPINIO_MIGRACIONS_ANG2.pdf
506	Mogherini and the Mediterranean: three pressing engagements	https://www.cidob.org/en/publications/publication_series/opinion/mediterraneo_y_oriente_medio/mogherini_and_the_mediterranean_three_pressing_engagements		Eduard Soler i Lecha	Eduard Soler i Lecha, Research Coordinator, CIDOB	10/2014	www.cidob.org	https://www.cidob.org/en/content/download/57195/1478413/version/3/file/274_OPINIO_MEDITERRANEO_ANG.pdf
507	The changing Energy Landscape in the Atlantic Region	https://www.cidob.org/en/publications/publication_series/project_papers/atlantic_future_papers/policy_briefs/the_changing_energy_landscape_in_the_atlantic_region		Policy Brief	Elina Viilup and Anna Ayuso, CIDOB	11/2014	www.cidob.org	https://www.cidob.org/en/content/download/65174/2002817/version/1/file/Policy%20Brief_%20The%20changing%20energy%20landscape%20in%20the%20Atlantic.pdf
508	Liderazgos regionales emergentes en América Latina. Consecuencias para las relaciones con la Unión Europea 	https://www.cidob.org/en/publications/publication_series/monographs/monographs/liderazgos_regionales_emergentes_en_america_latina_consecuencias_para_las_relaciones_con_la_union_europea		Introducción	Anna Ayuso, Sandra Borda G., Fábio Floriano, Valeria Moy y María Pallarès	11/2014	www.cidob.org	https://www.cidob.org/en/content/download/57633/1491129/version/3/file/Liderazgos_regionales_emergentes_en_Am%C3%A9rica_Latina.pdf
509	Maritime Security in the Atlantic	https://www.cidob.org/en/publications/publication_series/project_papers/atlantic_future_papers/policy_briefs/maritime_security_in_the_atlantic		Policy Brief	Elina Viilup and Anna Ayuso, CIDOB	11/2014	www.cidob.org	https://www.cidob.org/en/content/download/65173/2002783/version/2/file/Policy%20Brief_%20Maritime%20security%20in%20the%20Atlantic%20Basin.pdf
510	Juncker's Dilemmas: What Will Determine the New EC President’s Success or Failure?	https://www.cidob.org/en/publications/publication_series/notes_internacionals/n1_101/juncker_s_dilemmas_what_will_determine_the_new_ec_president_s_success_or_failure		Notes internacionals CIDOB, núm. 101	Elina Viilup, Research Fellow, CIDOB, and Carme Colomina, Associate Researcher, CIDOB	11/2014	www.cidob.org	https://www.cidob.org/en/content/download/56928/1465007/version/4/file/NOTES%20101_VIILUP%20i%20COLOMINA_ANG.pdf
511	Abenomics and its regional dimension 	https://www.cidob.org/en/publications/publication_series/opinion/asia/abenomics_and_its_regional_dimension		Lluc López i Vidal	Lluc López i Vidal, Lecturer in International Relations at the UOC and UAB	11/2014	www.cidob.org	https://www.cidob.org/en/content/download/57035/1469470/version/2/file/282_OPINIO_ASIA_ANG.pdf
512	Kazakhstan's Eurasian dilemma 	https://www.cidob.org/en/publications/publication_series/opinion/asia/kazakhstan_s_eurasian_dilemma		Nicolás de Pedro	Nicolás de Pedro, Research Fellow, CIDOB	11/2014	www.cidob.org	https://www.cidob.org/en/content/download/57036/1469557/version/5/file/283_OPINIO_ASIA_ANG.pdf
513	The Re-Emergence of Algeria	https://www.cidob.org/en/publications/publication_series/opinion/mediterraneo_y_oriente_medio/the_re_emergence_of_algeria		Francis Ghilès, 	Francis Ghilès, Associate Senior Researcher, CIDOB	11/2014	www.cidob.org	https://www.cidob.org/en/content/download/57196/1478500/version/6/file/280_OPINIO_MEDITERRANEO_ANG%283%29.pdf
514	Túnez tras las elecciones presidenciales: tres logros, dos incertidumbres y tres retos	https://www.cidob.org/en/publications/publication_series/opinion/mediterraneo_y_oriente_medio/tunez_tras_las_elecciones_presidenciales_tres_logros_dos_incertidumbres_y_tres_retos		Iván Martín	Iván Martín, investigador sénior, CIDOB	11/2014	www.cidob.org	https://www.cidob.org/en/content/download/57197/1478587/version/4/file/281_OPINIO_MEDITERRANEO_CAST.pdf
515	Después de Crimea: ¿una oportunidad rusa para América Latina?	https://www.cidob.org/en/publications/publication_series/notes_internacionals/n1_99/despues_de_crimea_una_oportunidad_rusa_para_america_latina		Notes internacionals CIDOB, núm. 99	Santiago Villar, asistente de investigación, CIDOB	11/2014	www.cidob.org	https://www.cidob.org/en/content/download/56926/1464939/version/4/file/NOTES%2099_VILLAR_CAST.pdf
516	Sources of Tension in Afghanistan & Pakistan: Perspectives from the Region in 2013 & 2014: 8 Perspectives from Pakistan on Afghanistan	https://www.cidob.org/en/publications/publication_series/project_papers/stap_rp/perspectives_2013_2014/sources_of_tension_in_afghanistan_pakistan_perspectives_from_the_region_in_2013_2014_8_perspectives_from_pakistan_on_afghanistan		Perspectives nº. 8 November 2014	Emma Hooper, Associate Senior Researcher and Gabriel Reyes Leguen, Associate Researcher, CIDOB	11/2014	www.cidob.org	https://www.cidob.org/en/content/download/56586/1454610/version/4/file/PERSPECTIVES%20_8.%20%20FROM%20PAKISTAN%20ON%20AFGHANISTAN.pdf
517	Commercial Ties in the Atlantic Basin: The Evolving Role of Services and Investment	https://www.cidob.org/en/publications/publication_series/project_papers/atlantic_future_papers/scientific_paper/commercial_ties_in_the_atlantic_basin_the_evolving_role_of_services_and_investment		Scientifc paper nº. 2	Daniel S. Hamilton and Joseph P. Quinlan1 Center for Transatlantic Relations at Johns Hopkins University's School of Advanced International Studies	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/63406/1961393/version/3/file/Scientific%20paper%202_Commercial%20ties%20in%20the%20Atlantic%20Basin.pdf
518	Multilateral Agreements and Global Governance of International Trade Regimes	https://www.cidob.org/en/publications/publication_series/project_papers/atlantic_future_papers/scientific_paper/multilateral_agreements_and_global_governance_of_international_trade_regimes		Scientific paper nº. 3	S. Khorana, Aberystwyth University and  S. McGuire and N. Perdikis, Keele University	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/63407/1961427/version/2/file/Scientific%20paper%203_Multilateral%20Agreements%20and%20Global%20Governance.pdf
519	The Shock of Collapsing Oil and Gas Prices	https://www.cidob.org/en/publications/publication_series/opinion/seguridad_y_politica_mundial/the_shock_of_collapsing_oil_and_gas_prices		Francis Ghilès, 	Francis Ghilès, Associate Senior Researcher, CIDOB	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/57256/1481130/version/6/file/288_OPINIO_SEGURIDAD_ANG.pdf
520	El reconocimiento de Palestina: Europa se mueve	https://www.cidob.org/en/publications/publication_series/opinion/mediterraneo_y_oriente_medio/el_reconocimiento_de_palestina_europa_se_mueve		Eduard Soler i Lecha	Eduard Soler i Lecha, coordinador de investigación, CIDOB	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/57198/1478645/version/3/file/287_OPINIO_MEDITERRANEO_CAST.pdf
521	2014: Point of Departure for the New Ibero-American Direction	https://www.cidob.org/en/publications/publication_series/opinion/america_latina/2014_point_of_departure_for_the_new_ibero_american_direction		Jordi Bacaria, 	Jordi Bacaria, Director, CIDOB and  Anna Ayuso, Senior Research Fellow, CIDOB 	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/56996/1467720/version/4/file/286_OPINIO_AMERICA%20LATINA_ANG.pdf
522	Pakistan: Monitoring the Key Regional Powers. Report 4	https://www.cidob.org/en/publications/publication_series/project_papers/stap_rp/quarterly_monitoring_briefs_pakistan/pakistan_monitoring_the_key_regional_powers_report_42		Quarterly Monitoring Brief	Pak Institute for Peace Studies, Islamabad	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/56577/1454194/version/4/file/PIPS_QTR4_Oct-Dec%202014.pdf
523	China’s Economic Presence in Uzbekistan: Realities and Potentials	https://www.cidob.org/en/publications/publication_series/project_papers/uzbekistan_initiative/china_s_economic_presence_in_uzbekistan_realities_and_potentials		UZIN Paper nº. 5 (2014)	Vladimir Paramonov	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/75369/2426712/version/2/file/UZIN%20PAPERS_5_VLADIMIR%20PARAMONOV.pdf
524	Elections in Uruguay:  Same colours, new government, greater challenges	https://www.cidob.org/en/publications/publication_series/opinion/america_latina/elections_in_uruguay_same_colours_new_government_greater_challenges		Santiago Villar	Santiago Villar, Research Assistant, CIDOB	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/56995/1467633/version/3/file/284_OPINIO_AMERICA%20LATINA_ANG.pdf
525	The Iranian Nuclear Issue: what Next?	https://www.cidob.org/en/publications/publication_series/opinion/seguridad_y_politica_mundial/the_iranian_nuclear_issue_what_next		Roberto Toscano	Roberto Toscano, Associate Senior Researcher, CIDOB	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/57255/1481043/version/3/file/285_OPINIO_SEGURIDAD_ANG.pdf
526	Kosovo: Multiple Crises and a Challenging Future	https://www.cidob.org/en/publications/publication_series/notes_internacionals/n1_102/kosovo_multiple_crises_and_a_challenging_future		Notes internacionals CIDOB, núm. 102	Raquel Montes, Independent Foreign Affairs Analyst	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/56930/1465104/version/2/file/NOTES%20102_MONTES_ANG.pdf
527	Victoria electoral de Abe en Japón: amplísimo margen  para avanzar con cautela	https://www.cidob.org/en/publications/publication_series/opinion/asia/victoria_electoral_de_abe_en_japon_amplisimo_margen_para_avanzar_con_cautela		Oriol Farrés	Oriol Farrés, responsable de proyectos, CIDOB	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/57037/1469644/version/4/file/290_OPINIO_ASIA_CAST.pdf
528	“Power from the People, for the People”: the Communist Party of China and Political Reform with Chinese Characteristics	https://www.cidob.org/en/publications/publication_series/notes_internacionals/n1_103/power_from_the_people_for_the_people_the_communist_party_of_china_and_political_reform_with_chinese_characteristics		Notes internacionals CIDOB, núm. 103	Sean Golden, Director East Asian Studies & Research Centre, Universitat Autònoma de Barcelona. Senior Research Associate, CIDOB	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/56932/1465201/version/2/file/NOTES%20103_GOLDEN_ANG..pdf
529	Illicit Financial Flows are the Achilles Heel of Capitalism	https://www.cidob.org/en/publications/publication_series/opinion/seguridad_y_politica_mundial/illicit_financial_flows_are_the_achilles_heel_of_capitalism		Francis Ghilès, 	Francis Ghilès, Associate Senior Researcher, CIDOB	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/57257/1481217/version/3/file/289_OPINIO_SEGURIDAD_ANG.pdf
530	Technology, Trade and Changes in Transport in the Atlantic Space	https://www.cidob.org/en/publications/publication_series/project_papers/atlantic_future_papers/scientific_paper/technology_trade_and_changes_in_transport_in_the_atlantic_space		Scientific paper nº. 5	N.Barron, S. McGuire and N.Perdikis at Aberystwyth Universityn and S. Khorana at Keele University	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/63409/1961495/version/2/file/Scientific%20paper%205_Technology%2C%20trade%20and%20Changes%20in%20Transport.pdf
531	The Atlantic as a new security area? Current engagements and prospects for security cooperation between Africa and its Atlantic counterparts	https://www.cidob.org/en/publications/publication_series/project_papers/atlantic_future_papers/scientific_paper/the_atlantic_as_a_new_security_area_current_engagements_and_prospects_for_security_cooperation_between_africa_and_its_atlantic_counterparts		Scientific paper nº. 6	John Kotsopoulos, University of Pretoria	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/63410/1961529/version/2/file/Scientific%20paper%206_%20The%20Atlantic%20as%20a%20new%20security%20area.pdf
532	Significant Trends in Illicit Trafficking: A Macro View of the Problem and Potential Means to Address It	https://www.cidob.org/en/publications/publication_series/project_papers/atlantic_future_papers/scientific_paper/significant_trends_in_illicit_trafficking_a_macro_view_of_the_problem_and_potential_means_to_address_it		Scientific paper nº. 8	Dr. Mark R. Jacobson and Max Daurora, The German Marshall Fund of the United States	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/63412/1961597/version/2/file/Scientific%20paper%208_Significant%20trends%20in%20Illicit%20Trafficking.pdf
533	Maritime Territorial Delimitation and Maritime Security in the Atlantic	https://www.cidob.org/en/publications/publication_series/project_papers/atlantic_future_papers/scientific_paper/maritime_territorial_delimitation_and_maritime_security_in_the_atlantic		Scientific paper nº. 7	Inês Sousa, Fundação Getúlio Vargas	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/63411/1961563/version/2/file/Scientific%20paper%207_Maritime%20Territorial%20Delimitation.pdf
534	Climate Change and the ‘Big Three’: Preparing the ground for a post-2020 global climate regime?	https://www.cidob.org/en/publications/publication_series/notes_internacionals/n1_100/climate_change_and_the_big_three_preparing_the_ground_for_a_post_2020_global_climate_regime		Notes internacionals CIDOB, núm. 100	Luigi Carafa, Research Fellow, CIDOB	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/59347/1547585/version/7/file/NOTES%20100_CARAFA_ANGL.pdf
535	Afghanistan: Overview of Sources of Tension with Regional Implications 2014	https://www.cidob.org/en/publications/publication_series/project_papers/stap_rp/policy_research_papers/afghanistan_overview_of_sources_of_tension_with_regional_implications_2014		Policy Research Papers	Malaiz Daud, Associate Researcher, CIDOB	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/56612/1455751/version/3/file/DECEMBER_2014_MALAIZ_DAUD%20%281%29.pdf
536	Pakistan: Overview of Sources of Tension with Regional Implications 2014	https://www.cidob.org/en/publications/publication_series/project_papers/stap_rp/policy_research_papers/pakistan_overview_of_sources_of_tension_with_regional_implications_2014		Policy Research Papers	Safiya Aftab, Independent Analyst	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/56613/1455838/version/4/file/DECEMBER_2014_SAFIYA_AFTAB.pdf
537	Continuities and changes in patterns of direct investment flows between South America and Africa	https://www.cidob.org/en/publications/publication_series/project_papers/atlantic_future_papers/scientific_paper/continuities_and_changes_in_patterns_of_direct_investment_flows_between_south_america_and_africa		Scientific Paper nº. 01	Katarina Pereira da Costa, Researcher at HEM and economist at CINDES  	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/63405/1961359/version/6/file/Scientific%20paper%201_Continuities%20and%20changes.pdf
538	What happened in the world in 2014? A vision from CIDOB	https://www.cidob.org/en/publications/publication_series/opinion/cidob/what_happened_in_the_world_in_2014_a_vision_from_cidob		Opinión CIDOB, n.º 293	CIDOB	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/57273/1481619/version/1/file/293_OPINIO_SEGURIDAD_ANG.pdf
539	Fragile States: Challenges and Opportunities for Atlantic Relations	https://www.cidob.org/en/publications/publication_series/project_papers/atlantic_future_papers/scientific_paper/fragile_states_challenges_and_opportunities_for_atlantic_relations		Scientific Paper nº. 9	Fernanda Faria, The German Marshall Fund of the United States	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/63413/1961631/version/2/file/Scientific%20paper%209_Fragile%20States.pdf
540	Principales tendencias en el actual mapa político latinoamericano	https://www.cidob.org/en/publications/publication_series/notes_internacionals/n1_104/principales_tendencias_en_el_actual_mapa_politico_latinoamericano		Notes internacionals CIDOB, núm. 104	Francisco Rojas Aravena, Dr. Ciencias Políticas, Rector de la Universidad para la Paz de las Naciones Unidas. Secretario General FLACSO, 2004-2012.	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/56934/1465298/version/2/file/NOTES%20104_ROJAS_CAST.pdf
541	El interés de Colombia por la paz	https://www.cidob.org/en/publications/publication_series/opinion/america_latina/el_interes_de_colombia_por_la_paz		Paula de Castro	Paula de Castro, analista y colaboradora de CIDOB	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/56997/1467807/version/5/file/291_OPINIO_AMERICA%20LATINA_CAST.pdf
542	Obama y Castro sellan una apuesta arriesgada pero inevitable	https://www.cidob.org/en/publications/publication_series/opinion/america_latina/obama_y_castro_sellan_una_apuesta_arriesgada_pero_inevitable		Anna Ayuso	Anna Ayuso, investigadora sénior, CIDOB	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/56998/1467865/version/3/file/292_OPINIO_AMERICA%20LATINA_CAST.pdf
543	Global Value Chains in the Atlantic Space	https://www.cidob.org/en/publications/publication_series/project_papers/atlantic_future_papers/scientific_paper/global_value_chains_in_the_atlantic_space		Scientific paper nº. 4	Mariana Magaldi de Sousa and Elsy Gonzalez Cubría	12/2014	www.cidob.org	https://www.cidob.org/en/content/download/63408/1961461/version/2/file/Scientific%20paper%204_Global%20value%20chains%20in%20the%20Atlantic%20Space.pdf
544	"France ""is Charlie"", but for how long? "	https://www.cidob.org/en/publications/publication_series/opinion/europa/france_is_charlie_but_for_how_long		Moussa Bourekba	Moussa Bourekba, Researcher and Project Manager, CIDOB 	01/2015	www.cidob.org	https://www.cidob.org/en/content/download/57133/1475184/version/9/file/299_OPINIO_SEGURIDAD_ANG.pdf
545	From policies to politics: The European Union as an international mediator in the Mediterranean	https://www.cidob.org/en/publications/publication_series/project_papers/euromesco/from_policies_to_politics_the_european_union_as_an_international_mediator_in_the_mediterranean		EuroMeSCo Paper, January 2015 (23)	Pol Morillas	01/2015	www.cidob.org	https://www.cidob.org/en/content/download/76554/2462990/version/1/file/EuroMeSCo-Paper-23_2015.pdf
546	Greece: its European elections	https://www.cidob.org/en/publications/publication_series/opinion/europa/greece_its_european_elections		Eduard Soler i Lecha	Eduard Soler i Lecha, Research Coordinator and  Héctor Sánchez Margalef, Researcher, CIDOB	01/2015	www.cidob.org	https://www.cidob.org/en/content/download/57132/1475097/version/4/file/298_OPINIO_EUROPA_ANG.pdf
547	China in Africa: New Perspectives  on Development	https://www.cidob.org/en/publications/publication_series/opinion/asia/china_in_africa_new_perspectives_on_development		Artur Colom-Jaén	Artur Colom-Jaén, Universitat Autònoma de Barcelona; SOAS University of London 	01/2015	www.cidob.org	https://www.cidob.org/en/content/download/57038/1469702/version/2/file/294_OPINIO_ASIA_ANG.pdf
548	Elections and Peace in Africa: Perspectives for 2015	https://www.cidob.org/en/publications/publication_series/opinion/seguridad_y_politica_mundial/elections_and_peace_in_africa_perspectives_for_2015		Anna Lührmann	Anna Lührmann, Doctoral Researcher, Humboldt University, Berlin	01/2015	www.cidob.org	https://www.cidob.org/en/content/download/57258/1481304/version/2/file/295_OPINIO_SEGURIDAD_ANG.pdf
549	The Army and the Exercise of Power in Burkina Faso: Lessons from the popular uprising on October 30th and 31st, 2014 	https://www.cidob.org/en/publications/publication_series/notes_internacionals/n1_106/the_army_and_the_exercise_of_power_in_burkina_faso_lessons_from_the_popular_uprising_on_october_30th_and_31st_2014		Notes internacionals CIDOB, núm. 106	Boureïma N. Ouedraogo*,  Doctor of Sociology, Université de Ouagadougou, Burkina Faso	01/2015	www.cidob.org	https://www.cidob.org/en/content/download/56938/1465405/version/2/file/NOTES%20106_OUEDRAOGO_ANG.pdf
550	¿Pausa o retroceso en las libertades fundamentales de los ciudadanos comunitarios?	https://www.cidob.org/en/publications/publication_series/notes_internacionals/n1_105/pausa_o_retroceso_en_las_libertades_fundamentales_de_los_ciudadanos_comunitarios		Notes internacionals CIDOB, núm. 104	David Moya, Miembro del Observatorio de Derecho Público, IDP-UB. Profesor de Derecho Constitucional, Universitat de Barcelona	01/2015	www.cidob.org	https://www.cidob.org/en/content/download/56936/1465337/version/2/file/NOTES%20105_MOYA_CASTN.pdf
551	Afghanistan: Monitoring the Key Regional Powers. Report 4	https://www.cidob.org/en/publications/publication_series/project_papers/stap_rp/quarterly_monitoring_briefs_afghanistan/afghanistan_monitoring_the_key_regional_powers_report_42		Quarterly Monitoring Brief	Malaiz Daud, Associate Researcher, CIDOB	01/2015	www.cidob.org	https://www.cidob.org/en/content/download/56566/1453830/version/6/file/AfghFinal%20Fourth%20Quarterly%20Monitoring%20Brief%20of%20Afghanistan%20-%20October-December%202014%20Final.pdf
552	The Response Ulrich Beck Would Have Liked to Hear	https://www.cidob.org/en/publications/publication_series/opinion/dinamicas_interculturales/the_response_ulrich_beck_would_have_liked_to_hear		Yolanda Onghena	Yolanda Onghena, Senior Researcher, CIDOB	02/2015	www.cidob.org	https://www.cidob.org/en/content/download/57056/1470389/version/6/file/297_OPINIO_DINAMICAS_ANG.pdf
553	Modernising its Army Allows Algeria to Play a More Active Regional Role	https://www.cidob.org/en/publications/publication_series/opinion/mediterraneo_y_oriente_medio/modernising_its_army_allows_algeria_to_play_a_more_active_regional_role		Francis Ghilès, 	Francis Ghilès, Associate Senior Researcher, CIDOB	02/2015	www.cidob.org	https://www.cidob.org/en/content/download/57199/1478703/version/6/file/304_OPINIO_MEDITERRANEO_ANG.pdf
554	Después de Charlie Hebdo: ser musulmán y sentirse europeo	https://www.cidob.org/en/publications/publication_series/opinion/dinamicas_interculturales/despues_de_charlie_hebdo_ser_musulman_y_sentirse_europeo		Yolanda Onghena, i	Yolanda Onghena, investigadora sénior, CIDOB	02/2015	www.cidob.org	https://www.cidob.org/en/content/download/57057/1470476/version/5/file/303_OPINIO_DINAMICAS_Castellano.pdf
555	Argentina-Irán: Vaivenes comerciales, políticos y judiciales	https://www.cidob.org/en/publications/publication_series/opinion/america_latina/argentina_iran_vaivenes_comerciales_politicos_y_judiciales		Santiago Villar 	Santiago Villar, investigador, CIDOB	02/2015	www.cidob.org	https://www.cidob.org/en/content/download/57000/1467981/version/3/file/302_OPINIO_AMERICA%20LATINA_CAST.pdf
556	Economics Will Be the Test of Tunisian Exceptionalism         	https://www.cidob.org/en/publications/publication_series/notes_internacionals/n1_109/economics_will_be_the_test_of_tunisian_exceptionalism		Notes internacionals CIDOB, núm. 109	Francis Ghilès, Senior Research Fellow, CIDOB	02/2015	www.cidob.org	https://www.cidob.org/en/content/download/56944/1465696/version/6/file/NOTES%20109_GHILES_ANG.pdf
557	Spain and the European Union-Russia Conflict: the Impact of the Sanctions	https://www.cidob.org/en/publications/publication_series/notes_internacionals/n1_108/spain_and_the_european_union_russia_conflict_the_impact_of_the_sanctions		Notes internacionals CIDOB, núm. 108	Antonio Sánchez Andrés, Lecturer in the Department of Applied Economics, Universidad de Valencia, and Nicolás de Pedro, Research Fellow, CIDOB 	02/2015	www.cidob.org	https://www.cidob.org/en/content/download/56942/1465599/version/7/file/NOTES%20108_SANCHEZ_DE_PEDROANG.pdf
558	Los dilemas existenciales de la CELAC	https://www.cidob.org/en/publications/publication_series/opinion/america_latina/los_dilemas_existenciales_de_la_celac		Anna Ayuso	Anna Ayuso, investigadora sénior, CIDOB	02/2015	www.cidob.org	https://www.cidob.org/en/content/download/56999/1467923/version/3/file/301_OPINIO_AMERICA%20LATINA_CAST%20%282%29.pdf
559	Fifteen Trends for 2015	https://www.cidob.org/en/publications/publication_series/notes_internacionals/n1_107/fifteen_trends_for_2015		Notes internacionals CIDOB, núm. 107	Eduard Soler i Lecha, Research Coordinator, CIDOB*	01/2015	www.cidob.org	https://www.cidob.org/en/content/download/56940/1465502/version/4/file/NOTES%20107_SOLER_ANG.pdf
